Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,5,16,0.69282,0.69323,0.68859,0.68901,59775,0.99481663,26.98284692,-0.00465627
2019,5,15,0.69414,0.69466,0.69143,0.69260,65684,0.99762333,30.55386104,-0.00418896
2019,5,14,0.69428,0.69590,0.69344,0.69425,62319,0.99974079,32.38290622,-0.00389711
2019,5,13,0.69902,0.70005,0.69402,0.69443,73681,0.99243983,32.58047560,-0.00363591
2019,5,10,0.69874,0.70179,0.69776,0.69972,99245,1.00150286,39.08853819,-0.00326797
2019,5,9,0.69855,0.69973,0.69642,0.69867,80026,0.99987120,36.76026862,-0.00328943
2019,5,8,0.70101,0.70263,0.69854,0.69876,79238,0.99666239,36.87244586,-0.00316207
2019,5,7,0.69890,0.70475,0.69781,0.70110,74554,1.00205814,39.80504586,-0.00296267
2019,5,6,0.69676,0.70021,0.69618,0.69966,70249,0.99621255,36.93906531,-0.00290333
2019,5,3,0.69950,0.70240,0.69841,0.70232,55536,1.00357235,40.22405047,-0.00263875
2019,5,2,0.70111,0.70287,0.69943,0.69982,56933,0.99770469,35.19445110,-0.00253349
2019,5,1,0.70443,0.70605,0.70065,0.70143,52265,0.99495028,37.05912664,-0.00210775
2019,4,30,0.70541,0.70684,0.70303,0.70499,57274,0.99927711,41.58269489,-0.00169762
2019,4,29,0.70339,0.70601,0.70332,0.70550,38145,1.00180339,42.26904210,-0.00151193
2019,4,26,0.70126,0.70607,0.70060,0.70423,62501,1.00369135,39.97823314,-0.00130485
2019,4,25,0.70124,0.70222,0.69876,0.70164,58589,1.00057042,35.10153475,-0.00089225
2019,4,24,0.71005,0.71013,0.70038,0.70124,71943,0.98752288,34.33643667,-0.00008894
2019,4,23,0.71322,0.71389,0.70805,0.71010,51867,0.99531846,45.32729247,0.00097839
2019,4,22,0.71478,0.71514,0.71278,0.71344,31020,0.99794380,51.04701111,0.00142436
2019,4,19,0.71465,0.71585,0.71401,0.71491,25524,1.00023785,53.82267147,0.00163279
2019,4,18,0.71774,0.71975,0.71360,0.71474,44760,0.99600061,53.55145565,0.00172539
2019,4,17,0.71730,0.72055,0.71519,0.71761,47546,1.00022301,58.98214645,0.00183581
2019,4,16,0.71713,0.71785,0.71390,0.71745,46761,1.00046017,58.76567727,0.00165781
2019,4,15,0.71745,0.71817,0.71631,0.71712,39283,1.00006973,58.34465689,0.00142280
2019,4,12,0.71195,0.71918,0.71153,0.71707,49225,1.00679556,58.28473153,0.00113575
2019,4,11,0.71671,0.71701,0.71159,0.71223,44635,0.99374922,52.08943770,0.00075794
2019,4,10,0.71204,0.71742,0.71087,0.71671,49902,1.00585230,59.71150647,0.00075749
2019,4,9,0.71246,0.71518,0.71184,0.71254,42648,1.00004210,53.87838443,0.00028975
2019,4,8,0.71007,0.71302,0.70869,0.71251,51218,1.00280077,53.83373198,0.00011311
2019,4,5,0.71101,0.71311,0.70916,0.71052,55233,0.99929678,50.90610720,-0.00011093
2019,4,4,0.71134,0.71265,0.70970,0.71102,59527,0.99957825,51.67058748,-0.00019266
2019,4,3,0.70660,0.71291,0.70537,0.71132,67583,1.00673687,52.10655621,-0.00034508
