Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,5,16,1.12979,1.13168,1.12805,1.12842,61917,0.99876970,38.60563429,-0.00060502
2019,5,15,1.12980,1.13130,1.12634,1.12981,67600,0.99984071,40.49621979,-0.00007000
2019,5,14,1.12913,1.13288,1.12877,1.12999,68295,1.00053126,40.73610205,0.00047237
2019,5,13,1.13590,1.13685,1.12938,1.12939,75219,0.99378767,39.62921184,0.00113944
2019,5,10,1.13684,1.14085,1.13591,1.13645,84756,0.99865551,49.78993622,0.00203537
2019,5,9,1.14159,1.14275,1.13706,1.13798,86205,0.99648859,52.49862567,0.00243047
2019,5,8,1.14048,1.14288,1.13825,1.14199,86498,1.00124499,60.51012828,0.00274362
2019,5,7,1.13962,1.14390,1.13838,1.14057,81100,1.00069312,58.42386332,0.00269512
2019,5,6,1.13497,1.14077,1.13466,1.13978,65533,1.00112429,57.25732364,0.00273859
2019,5,3,1.13889,1.13962,1.13714,1.13850,75986,0.99975412,55.37347208,0.00283468
2019,5,2,1.13986,1.14266,1.13827,1.13878,70762,0.99960500,55.87368588,0.00304643
2019,5,1,1.14278,1.14390,1.13898,1.13923,63141,0.99697206,56.63721499,0.00324387
2019,4,30,1.14032,1.14444,1.13877,1.14269,72288,1.00200807,62.76048594,0.00340287
2019,4,29,1.13590,1.14084,1.13586,1.14040,48951,1.00329034,60.11003387,0.00320403
2019,4,26,1.13565,1.13847,1.13501,1.13666,72041,1.00051933,55.28350209,0.00313680
2019,4,25,1.13795,1.13884,1.13552,1.13607,78010,0.99837423,54.47663579,0.00338616
2019,4,24,1.14517,1.14530,1.13789,1.13792,83316,0.99376452,57.49740152,0.00371526
2019,4,23,1.14238,1.14759,1.14230,1.14506,66090,1.00148685,71.75722713,0.00389290
2019,4,22,1.13917,1.14388,1.13917,1.14336,26868,1.00321137,70.11878832,0.00333603
2019,4,19,1.13928,1.14099,1.13900,1.13970,68811,0.99938618,66.19861907,0.00274982
2019,4,18,1.14094,1.14199,1.13653,1.14040,51669,0.99861644,67.77777938,0.00233427
2019,4,17,1.13643,1.14219,1.13608,1.14198,38974,1.00471574,71.34487227,0.00169865
2019,4,16,1.13469,1.13769,1.13404,1.13662,45274,1.00141849,65.65011230,0.00070179
2019,4,15,1.13212,1.13533,1.13179,1.13501,30853,1.00201284,63.63434256,-0.00003503
2019,4,12,1.12868,1.13307,1.12752,1.13273,43797,1.00317941,60.59339518,-0.00081105
2019,4,11,1.13003,1.13137,1.12886,1.12914,39391,0.99913284,55.10435231,-0.00155759
2019,4,10,1.12579,1.13036,1.12506,1.13012,52500,1.00367680,57.12119407,-0.00212226
2019,4,9,1.12445,1.12791,1.12436,1.12598,46701,1.00120039,49.93285930,-0.00291189
