Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,5,16,71.914,72.159,71.627,71.777,103626,0.99840038,25.40096459,-0.85370019
2019,5,15,72.045,72.107,71.539,71.892,110309,0.99787633,26.19336216,-0.83663888
2019,5,14,71.752,72.278,71.688,72.045,102377,1.00352407,27.24329487,-0.81440224
2019,5,13,72.316,72.489,71.616,71.792,116020,0.98968845,22.47156743,-0.78975254
2019,5,10,72.252,72.771,72.209,72.540,150791,1.00309752,27.40610301,-0.72104325
2019,5,9,72.338,72.492,72.024,72.316,124909,0.99915719,22.68505859,-0.69901730
2019,5,8,72.750,72.801,71.826,72.377,124116,0.99491388,23.06435295,-0.63792939
2019,5,7,73.138,73.398,72.631,72.747,116271,0.99320090,25.46218862,-0.55689093
2019,5,6,73.013,73.460,72.808,73.245,105919,0.99250657,29.26464597,-0.48302889
2019,5,3,73.772,73.984,73.622,73.798,79076,1.00043380,34.59118575,-0.43243365
2019,5,2,73.739,74.090,73.615,73.766,75083,0.99998644,33.94516468,-0.41787123
2019,5,1,74.343,74.380,73.733,73.767,63504,0.99131872,33.95489615,-0.38994799
2019,4,30,74.403,74.589,74.116,74.413,72381,0.99967758,41.00675214,-0.34873761
2019,4,29,74.172,74.575,74.146,74.437,50240,1.00134523,41.30267138,-0.35684019
2019,4,26,73.939,74.491,73.702,74.337,80534,1.00497506,39.61674569,-0.36443526
2019,4,25,73.899,73.997,73.611,73.969,74967,1.00136730,33.04524343,-0.35864664
2019,4,24,74.391,74.419,73.653,73.868,85331,0.99276940,31.13524042,-0.30857248
2019,4,23,74.740,74.806,74.193,74.406,70392,0.99553117,36.25015937,-0.22988768
2019,4,22,74.716,74.865,74.669,74.740,49891,0.99891742,40.04230600,-0.18089163
2019,4,19,74.782,74.907,74.725,74.821,44280,1.00012030,41.00836016,-0.14973097
2019,4,18,75.320,75.386,74.669,74.812,49172,0.99280728,40.86115330,-0.11602801
2019,4,17,75.675,75.856,74.638,75.354,53119,0.99514012,47.48776292,-0.07040673
2019,4,16,75.718,75.814,75.467,75.722,58605,0.99957758,52.89616266,-0.06633874
2019,4,15,75.627,75.951,75.587,75.754,46859,1.00048866,53.38711690,-0.09765067
2019,4,12,75.074,75.885,74.966,75.717,61320,1.00793387,52.91793700,-0.13945389
2019,4,11,75.064,75.207,74.888,75.121,59337,1.00125288,44.57319019,-0.18701431
2019,4,10,74.904,75.184,74.768,75.027,65706,1.00124109,43.09613628,-0.18431485
2019,4,9,75.093,75.249,74.864,74.934,55835,0.99731154,41.66805363,-0.16861751
2019,4,8,75.153,75.217,74.926,75.136,52273,0.99898952,43.88960843,-0.13666028
2019,4,5,75.416,75.593,75.069,75.212,60661,0.99728178,44.72263478,-0.11445072
2019,4,4,75.525,75.803,75.258,75.417,58915,0.99857001,46.95483386,-0.09217670
