,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA,newColumn
2,2019,5,14,14.765,14.859000000000002,14.741,14.8,20886,1.00189548,42.69048512,-0.09278491,14.02653672
4,2019,5,10,14.767000000000001,14.845999999999998,14.739,14.777999999999999,25800,1.00115168,41.29740198,-0.09654717,10.011516799999999
7,2019,5,7,14.887,14.944,14.800999999999998,14.915999999999999,25703,1.00046952,46.13441591,-0.09464084,7.00328664
9,2019,5,3,14.633,14.978,14.597999999999999,14.925999999999998,24689,1.02009295,46.42626267,-0.11273277,3.06027885
12,2019,4,30,14.913,15.015,14.82,14.96,23435,1.00214362,43.35582144,-0.08872979,30.0643086
14,2019,4,26,14.94,15.084000000000001,14.927,15.052,23406,1.00702482,46.99997508,-0.09312063,26.182645320000002
16,2019,4,24,14.839,14.991,14.790999999999999,14.953,22915,1.0087021,41.11618291,-0.10783383,24.208850400000003
18,2019,4,22,15.007,15.081,14.995999999999999,15.017000000000001,13462,1.00073304,40.80766844,-0.09928679,22.01612688
19,2019,4,19,15.005999999999998,15.005999999999998,15.005999999999998,15.005999999999998,1,1.0004,40.03607453,-0.10311051,19.0076
20,2019,4,18,14.985999999999999,15.033,14.937000000000001,15.0,19981,1.00066711,39.63754166,-0.10537119,18.01200798
22,2019,4,16,14.902000000000001,15.025,14.884,15.005999999999998,24619,1.00086707,39.62199951,-0.10449829,16.01387312
24,2019,4,12,14.972999999999999,15.118,14.957,14.993,21436,1.00220588,38.89904931,-0.09723983,12.02647056
26,2019,4,10,15.219000000000001,15.297,15.152000000000001,15.24,22378,1.00105097,47.280031,-0.0739468,10.0105097
28,2019,4,8,15.13,15.302999999999999,15.12,15.249,17772,1.0093328,47.51497998,-0.08968352,8.0746624
30,2019,4,4,15.126,15.182,14.902999999999999,15.148,23643,1.00092507,42.27709768,-0.09872195,4.00370028
31,2019,4,3,15.109000000000002,15.197000000000001,15.042,15.134,24570,1.00072737,41.62211962,-0.09895703,3.0021821099999997
32,2019,4,2,15.112,15.124,14.943,15.123,22518,1.00099285,41.13479629,-0.09639225,2.0019857
34,2019,3,29,15.02,15.206,14.988,15.139000000000001,30831,1.00839273,41.35374237,-0.08035416,29.24338917
