,Month,Day
0,5,16
1,5,15
2,5,14
3,5,13
4,5,10
5,5,9
6,5,8
7,5,7
8,5,6
9,5,3
10,5,2
11,5,1
12,4,30
13,4,29
14,4,26
15,4,25
16,4,24
17,4,23
18,4,22
19,4,19
20,4,18
21,4,17
22,4,16
23,4,15
24,4,12
25,4,11
26,4,10
27,4,9
28,4,8
29,4,5
30,4,4
31,4,3
32,4,2
33,4,1
34,3,29
35,3,28
36,3,27
37,3,26
38,3,25
39,3,22
40,3,21
41,3,20
42,3,19
43,3,18
44,3,15
45,3,14
46,3,13
47,3,12
48,3,11
49,3,8
50,3,7
51,3,6
52,3,5
53,3,4
54,3,1
55,2,28
56,2,27
57,2,26
58,2,25
59,2,22
60,2,21
61,2,20
62,2,19
63,2,18
64,2,15
65,2,14
66,2,13
67,2,12
68,2,11
69,2,8
70,2,7
71,2,6
72,2,5
73,2,4
74,2,1
75,1,31
76,1,30
77,1,29
78,1,28
79,1,25
80,1,24
81,1,23
82,1,22
83,1,21
84,1,18
85,1,17
86,1,16
87,1,15
88,1,14
89,1,11
90,1,10
91,1,9
92,1,8
93,1,7
94,1,4
95,1,3
96,1,2
97,1,1
98,12,31
99,12,28
100,12,27
101,12,26
102,12,24
103,12,21
104,12,20
105,12,19
106,12,18
107,12,17
108,12,14
109,12,13
110,12,12
111,12,11
112,12,10
113,12,7
114,12,6
115,12,5
116,12,4
117,12,3
118,11,30
119,11,29
120,11,28
121,11,27
122,11,26
123,11,23
124,11,22
125,11,21
126,11,20
127,11,19
128,11,16
129,11,15
130,11,14
131,11,13
132,11,12
133,11,9
134,11,8
135,11,7
136,11,6
137,11,5
138,11,2
139,11,1
140,10,31
141,10,30
142,10,29
143,10,26
144,10,25
145,10,24
146,10,23
147,10,22
148,10,19
149,10,18
150,10,17
151,10,16
152,10,15
153,10,12
154,10,11
155,10,10
156,10,9
157,10,8
158,10,5
159,10,4
160,10,3
161,10,2
162,10,1
163,9,28
164,9,27
165,9,26
166,9,25
167,9,24
168,9,21
169,9,20
170,9,19
171,9,18
172,9,17
173,9,14
174,9,13
175,9,12
176,9,11
177,9,10
178,9,7
179,9,6
180,9,5
181,9,4
182,9,3
183,8,31
184,8,30
185,8,29
186,8,28
187,8,27
188,8,24
189,8,23
190,8,22
191,8,21
192,8,20
193,8,17
194,8,16
195,8,15
196,8,14
197,8,13
198,8,10
199,8,9
200,8,8
201,8,7
202,8,6
203,8,3
204,8,2
205,8,1
206,7,31
207,7,30
208,7,27
209,7,26
210,7,25
211,7,24
212,7,23
213,7,20
214,7,19
215,7,18
216,7,17
217,7,16
218,7,13
219,7,12
220,7,11
221,7,10
222,7,9
223,7,6
224,7,5
225,7,4
226,7,3
227,7,2
228,6,29
229,6,28
230,6,27
231,6,26
232,6,25
233,6,22
234,6,21
235,6,20
236,6,19
237,6,18
238,6,15
239,6,14
240,6,13
241,6,12
242,6,11
243,6,8
244,6,7
245,6,6
246,6,5
247,6,4
248,6,1
249,5,31
250,5,30
251,5,29
252,5,28
253,5,25
254,5,24
255,5,23
256,5,22
257,5,21
258,5,18
259,5,17
260,5,16
261,5,15
262,5,14
263,5,11
264,5,10
265,5,9
266,5,8
267,5,7
268,5,4
269,5,3
270,5,2
271,5,1
272,4,30
273,4,27
274,4,26
275,4,25
276,4,24
277,4,23
278,4,20
279,4,19
280,4,18
281,4,17
282,4,16
283,4,13
284,4,12
285,4,11
286,4,10
287,4,9
288,4,6
289,4,5
290,4,4
291,4,3
292,4,2
293,3,29
294,3,28
295,3,27
296,3,26
297,3,23
298,3,22
299,3,21
300,3,20
301,3,19
302,3,16
303,3,15
304,3,14
305,3,13
306,3,12
307,3,9
308,3,8
309,3,7
310,3,6
311,3,5
312,3,2
313,3,1
314,2,28
315,2,27
316,2,26
317,2,23
318,2,22
319,2,21
320,2,20
321,2,19
322,2,16
323,2,15
324,2,14
325,2,13
326,2,12
327,2,9
328,2,8
329,2,7
330,2,6
331,2,5
332,2,2
333,2,1
334,1,31
335,1,30
336,1,29
337,1,26
338,1,25
339,1,24
340,1,23
341,1,22
342,1,19
343,1,18
344,1,17
345,1,16
346,1,15
347,1,12
348,1,11
349,1,10
350,1,9
351,1,8
352,1,5
353,1,4
354,1,3
355,1,2
356,12,29
357,12,28
358,12,27
359,12,26
360,12,22
361,12,21
362,12,20
363,12,19
364,12,18
365,12,15
366,12,14
367,12,13
368,12,12
369,12,11
370,12,8
371,12,7
372,12,6
373,12,5
374,12,4
375,12,1
376,11,30
377,11,29
378,11,28
379,11,27
380,11,24
381,11,23
382,11,22
383,11,21
384,11,20
385,11,17
386,11,16
387,11,15
388,11,14
389,11,13
390,11,10
391,11,9
392,11,8
393,11,7
394,11,6
395,11,3
396,11,2
397,11,1
398,10,31
399,10,30
400,10,27
401,10,26
402,10,25
403,10,24
404,10,23
405,10,20
406,10,19
