Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,5,16,14.800,14.824,14.527,14.572,19773,0.98492734,33.87643494,-0.10346194
2019,5,15,14.801,14.857,14.765,14.795,20048,0.99966216,42.46514334,-0.08936815
2019,5,14,14.765,14.859,14.741,14.800,20886,1.00189548,42.69048512,-0.09278491
2019,5,13,14.794,14.812,14.621,14.772,23544,0.99959399,41.06421944,-0.09630542
2019,5,10,14.767,14.846,14.739,14.778,25800,1.00115168,41.29740198,-0.09654717
2019,5,9,14.841,14.867,14.700,14.761,24705,0.99440852,40.40709454,-0.09606231
2019,5,8,14.913,14.973,14.828,14.844,23992,0.99517297,43.39057041,-0.09231528
2019,5,7,14.887,14.944,14.801,14.916,25703,1.00046952,46.13441591,-0.09464084
2019,5,6,14.952,14.974,14.762,14.909,27192,0.99886105,45.82514225,-0.10356342
2019,5,3,14.633,14.978,14.598,14.926,24689,1.02009295,46.42626267,-0.11273277
2019,5,2,14.670,14.729,14.572,14.632,25186,0.99747767,32.12888579,-0.12452735
2019,5,1,14.941,14.962,14.606,14.669,27714,0.98054813,33.16314609,-0.10783568
2019,4,30,14.913,15.015,14.820,14.960,23435,1.00214362,43.35582144,-0.08872979
2019,4,29,15.075,15.080,14.885,14.928,18073,0.99176189,41.52051620,-0.09268220
2019,4,26,14.940,15.084,14.927,15.052,23406,1.00702482,46.99997508,-0.09312063
2019,4,25,14.950,15.018,14.865,14.947,23409,0.99959874,40.86358670,-0.10495119
2019,4,24,14.839,14.991,14.791,14.953,22915,1.00870210,41.11618291,-0.10783383
2019,4,23,15.015,15.039,14.754,14.824,20830,0.98714790,32.82640910,-0.11055553
2019,4,22,15.007,15.081,14.996,15.017,13462,1.00073304,40.80766844,-0.09928679
2019,4,19,15.006,15.006,15.006,15.006,1,1.00040000,40.03607453,-0.10311051
2019,4,18,14.986,15.033,14.937,15.000,19981,1.00066711,39.63754166,-0.10537119
2019,4,17,14.997,15.101,14.928,14.990,22302,0.99893376,39.01021279,-0.10611305
2019,4,16,14.902,15.025,14.884,15.006,24619,1.00086707,39.62199951,-0.10449829
2019,4,15,14.991,15.039,14.855,14.993,22542,1.00000000,38.89904931,-0.10254639
2019,4,12,14.973,15.118,14.957,14.993,21436,1.00220588,38.89904931,-0.09723983
