Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,5,16,1.72545,1.72743,1.71637,1.72271,133120,0.99825580,34.99216746,-0.00293434
2019,5,15,1.73686,1.74152,1.72463,1.72572,153584,0.99302583,36.39351209,-0.00125604
2019,5,14,1.74524,1.74743,1.73707,1.73784,143188,0.99493897,42.80259087,0.00059788
2019,5,13,1.74345,1.75191,1.74345,1.74668,150176,1.00113487,48.59907432,0.00172142
2019,5,10,1.75309,1.75480,1.74266,1.74470,171448,0.99578786,47.10936489,0.00223036
2019,5,9,1.75227,1.75717,1.74889,1.75208,161859,0.99951510,52.36167883,0.00304911
2019,5,8,1.76111,1.76124,1.74840,1.75293,166743,0.99525913,52.99357324,0.00329836
2019,5,7,1.76068,1.76296,1.75645,1.76128,151923,1.00008517,59.54878491,0.00348197
2019,5,6,1.76920,1.77275,1.75923,1.76113,149205,0.99576506,59.46514525,0.00281550
2019,5,3,1.75529,1.76895,1.74963,1.76862,142081,1.00746792,65.77063102,0.00193915
2019,5,2,1.75428,1.75810,1.75056,1.75551,142768,1.00163753,58.64307783,0.00002980
2019,5,1,1.74434,1.75705,1.74364,1.75264,122923,1.00396973,56.81511280,-0.00107283
2019,4,30,1.74006,1.75585,1.73801,1.74571,139913,1.00321819,52.06457338,-0.00217236
2019,4,29,1.73672,1.74367,1.73672,1.74011,107909,1.00097791,47.75184395,-0.00283857
2019,4,26,1.73890,1.74251,1.73552,1.73841,135814,1.00000575,46.39228153,-0.00307742
2019,4,25,1.74002,1.74267,1.73735,1.73840,135388,0.99869590,46.38466103,-0.00316442
2019,4,24,1.73625,1.75071,1.73512,1.74067,154062,1.00246488,47.81745567,-0.00322843
2019,4,23,1.73228,1.74421,1.73146,1.73639,131719,1.00251149,44.83403852,-0.00349429
2019,4,22,1.73739,1.74058,1.73165,1.73204,73029,0.99639305,41.68766738,-0.00334702
2019,4,19,1.73593,1.74107,1.73571,1.73831,136419,1.00035680,45.13296053,-0.00266745
2019,4,18,1.73881,1.74283,1.73678,1.73769,105077,0.99943060,44.71341625,-0.00239968
2019,4,17,1.74078,1.74411,1.73137,1.73868,96641,0.99830618,45.22617724,-0.00195988
2019,4,16,1.74977,1.75382,1.74159,1.74163,98130,0.99473399,46.70826177,-0.00147082
2019,4,15,1.74191,1.75489,1.74078,1.75085,76983,1.00508614,51.61737723,-0.00112557
2019,4,12,1.74457,1.74927,1.74137,1.74199,90749,0.99755477,46.61028919,-0.00160730
2019,4,11,1.74242,1.75190,1.74112,1.74626,87518,1.00165196,48.87379358,-0.00129668
2019,4,10,1.73760,1.74757,1.73673,1.74338,93655,1.00223053,47.27004276,-0.00131611
2019,4,9,1.73798,1.74470,1.73361,1.73950,90726,1.00033354,45.11631328,-0.00102853
2019,4,8,1.74323,1.74863,1.73598,1.73892,84432,0.99680709,44.80337562,-0.00025147
