,Day,Return
0,16,0.98492734
1,15,0.99966216
2,14,1.00189548
3,13,0.99959399
4,10,1.00115168
5,9,0.99440852
6,8,0.99517297
7,7,1.00046952
8,6,0.99886105
9,3,1.02009295
10,2,0.99747767
11,1,0.98054813
12,30,1.00214362
13,29,0.99176189
14,26,1.00702482
15,25,0.99959874
16,24,1.0087021
17,23,0.9871479
18,22,1.00073304
19,19,1.0004
20,18,1.00066711
21,17,0.99893376
22,16,1.00086707
23,15,1.0
24,12,1.00220588
25,11,0.9816273
26,10,1.00105097
27,9,0.99836055
28,8,1.0093328
29,5,0.99735939
30,4,1.00092507
31,3,1.00072737
32,2,1.00099285
33,1,0.99795231
34,29,1.00839273
35,28,0.9815626
36,27,0.99131506
37,26,0.99279326
38,25,1.00647626
39,22,0.99806089
40,21,0.99967692
41,20,1.00683105
42,19,1.00143332
43,18,1.00359618
44,15,1.0066478
45,14,0.98323842
46,13,1.0007772
47,12,1.00796449
48,11,0.99856584
49,8,1.02089711
50,7,0.99674959
51,6,0.99636484
52,5,1.00271721
53,4,0.9917187
54,1,0.97469571
55,28,0.99129993
56,27,0.98807806
57,26,1.00264234
58,25,0.99836694
59,22,1.00682982
60,21,0.98455887
61,20,1.00400075
62,19,1.01182796
63,18,1.00152033
64,15,1.01069211
65,14,1.00314708
66,13,0.99134089
67,12,1.00012736
68,11,0.9921031
69,8,1.00571828
70,7,1.004147
71,6,0.9890207
72,5,0.99880255
73,4,0.99761081
74,1,0.98985561
75,31,1.00012449
76,30,1.01407562
77,29,1.00488393
78,28,1.00120658
79,25,1.02800627
80,24,0.99726563
81,23,1.00136906
82,22,1.00445288
83,21,0.99550196
84,18,0.98808374
85,17,0.99563907
86,16,1.00089865
87,15,0.99635457
88,14,1.00243621
89,11,1.00212014
90,10,0.98844224
91,9,1.00600524
92,8,1.0004474
93,7,0.99675097
94,4,0.99752161
95,3,1.01378688
96,2,0.9996136
97,1,1.00361944
98,31,1.00598179
99,28,1.00925258
100,27,1.01356834
101,26,1.01807963
102,24,1.00984683
103,21,0.99058457
104,20,1.01116438
105,19,0.99726776
106,18,0.99761499
107,17,1.00775992
108,14,0.98698658
109,13,1.00074612
110,12,1.01263823
111,11,1.00220279
112,10,0.99316333
113,7,1.01043106
114,6,0.9980695
115,5,0.99834802
116,4,1.01015158
117,3,1.01460317
118,30,0.99056604
119,29,0.99895288
